 time [ms],current channel 1
0,0.995768
0.8192,0.995744
1.6384,0.995746
2.4576,0.995664
3.2768,0.995654
4.096,0.995669
4.9152,0.995658
5.7344,0.995629
6.5536,0.995627
7.3728,0.995637
8.192,0.995647
9.0112,0.995612
9.8304,0.995593
10.6496,0.99555
11.4688,0.995572
12.288,0.995566
13.1072,0.995492
13.9264,0.995464
14.7456,0.995428
15.5648,0.995369
16.384,0.99531
17.2032,0.995239
18.0224,0.995208
18.8416,0.995159
19.6608,0.995072
20.48,0.995057
21.2992,0.995097
22.1184,0.995054
22.9376,0.99509
23.7568,0.995087
24.576,0.995067
25.3952,0.995081
26.2144,0.995159
27.0336,0.995125
27.8528,0.995217
28.672,0.995213
29.4912,0.995274
30.3104,0.995321
31.1296,0.995287
31.9488,0.995462
32.768,0.99547
33.5872,0.995543
34.4064,0.995694
35.2256,0.995801
36.0448,0.99588
36.864,0.995934
37.6832,0.996066
38.5024,0.996022
39.3216,0.996139
40.1408,0.99611
40.96,0.996065
41.7792,0.996006
42.5984,0.99595
43.4176,0.9958
44.2368,0.995769
45.056,0.995636
45.8752,0.995505
46.6944,0.995397
47.5136,0.99533
48.3328,0.995259
49.152,0.99522
49.9712,0.995209
50.7904,0.995138
51.6096,0.995115
52.4288,0.995126
53.248,0.995131
54.0672,0.995159
54.8864,0.995141
55.7056,0.995106
56.5248,0.995124
57.344,0.995152
58.1632,0.995153
58.9824,0.99508
59.8016,0.9951
60.6208,0.995088
61.44,0.995068
62.2592,0.995077
63.0784,0.995125
63.8976,0.995149
64.7168,0.995161
65.536,0.99518
66.3552,0.995196
67.1744,0.995279
67.9936,0.995241
68.8128,0.99533
69.632,0.995346
70.4512,0.995353
71.2704,0.995351
72.0896,0.9954
72.9088,0.995448
73.728,0.995422
74.5472,0.995429
75.3664,0.995422
76.1856,0.995429
77.0048,0.995444
77.824,0.995415
78.6432,0.995528
79.4624,0.995525
80.2816,0.995499
81.1008,0.995431
81.92,0.995456
82.7392,0.995428
83.5584,0.995447
84.3776,0.995392
85.1968,0.99529
86.016,0.995251
86.8352,0.995165
87.6544,0.995105
88.4736,0.995095
89.2928,0.994989
90.112,0.99497
90.9312,0.994924
91.7504,0.99488
92.5696,0.994874
93.3888,0.994892
94.208,0.994872
95.0272,0.994914
95.8464,0.994956
96.6656,0.994961
97.4848,0.995029
98.304,0.995045
99.1232,0.995094
99.9424,0.995163
100.7616,0.995143
101.5808,0.995134
102.4,0.995148
103.2192,0.995108
104.0384,0.995156
104.8576,0.995083
105.6768,0.9951
106.496,0.994999
107.3152,0.995003
108.1344,0.995003
108.9536,0.994971
109.7728,0.994973
110.592,0.99487
111.4112,0.994861
112.2304,0.994846
113.0496,0.994786
113.8688,0.994733
114.688,0.994629
115.5072,0.994523
116.3264,0.994547
117.1456,0.994456
117.9648,0.994397
118.784,0.99439
119.6032,0.994484
120.4224,0.99455
121.2416,0.994556
122.0608,0.994723
122.88,0.994837
123.6992,0.994955
124.5184,0.995042
125.3376,0.995269
126.1568,0.995393
126.976,0.995487
127.7952,0.995567
128.6144,0.995627
129.4336,0.995706
130.2528,0.995681
131.072,0.995698
131.8912,0.995705
132.7104,0.995617
133.5296,0.995555
134.3488,0.995446
135.168,0.995346
135.9872,0.995311
136.8064,0.995188
137.6256,0.995103
138.4448,0.995059
139.264,0.995057
140.0832,0.99502
140.9024,0.994933
141.7216,0.994955
142.5408,0.994926
143.36,0.994953
144.1792,0.994953
144.9984,0.994947
145.8176,0.994931
146.6368,0.994969
147.456,0.994896
148.2752,0.994915
149.0944,0.994801
149.9136,0.994787
150.7328,0.994686
151.552,0.994597
152.3712,0.994528
153.1904,0.994395
154.0096,0.994342
154.8288,0.994265
155.648,0.994203
156.4672,0.994158
157.2864,0.994153
158.1056,0.994065
158.9248,0.994153
159.744,0.994152
160.5632,0.994208
161.3824,0.994305
162.2016,0.994331
163.0208,0.994404
163.84,0.994465
164.6592,0.994515
165.4784,0.99465
166.2976,0.994682
167.1168,0.994756
167.936,0.9948
168.7552,0.994891
169.5744,0.994891
170.3936,0.994936
171.2128,0.994957
172.032,0.994968
172.8512,0.994886
173.6704,0.994907
174.4896,0.994819
175.3088,0.994769
176.128,0.994735
176.9472,0.994616
177.7664,0.994568
178.5856,0.994545
179.4048,0.994465
180.224,0.994412
181.0432,0.994416
181.8624,0.99432
182.6816,0.99433
183.5008,0.994284
184.32,0.994251
185.1392,0.994278
185.9584,0.994249
186.7776,0.994338
187.5968,0.994335
188.416,0.994406
189.2352,0.994468
190.0544,0.994546
190.8736,0.994619
191.6928,0.994677
192.512,0.994756
193.3312,0.99489
194.1504,0.994964
194.9696,0.994982
195.7888,0.995072
196.608,0.995124
197.4272,0.99512
198.2464,0.995222
199.0656,0.995213
199.8848,0.995221
200.704,0.995177
201.5232,0.995162
202.3424,0.995117
203.1616,0.995144
203.9808,0.995099
204.8,0.995084
205.6192,0.995095
206.4384,0.995034
207.2576,0.995005
208.0768,0.994942
208.896,0.994967
209.7152,0.994941
210.5344,0.994966
211.3536,0.994909
212.1728,0.994876
212.992,0.994874
213.8112,0.994903
214.6304,0.994875
215.4496,0.994876
216.2688,0.994872
217.088,0.994895
217.9072,0.994808
218.7264,0.994823
219.5456,0.994768
220.3648,0.994766
221.184,0.994676
222.0032,0.994615
222.8224,0.994612
223.6416,0.994539
224.4608,0.99446
225.28,0.994419
226.0992,0.994354
226.9184,0.994287
227.7376,0.994283
228.5568,0.994238
229.376,0.994222
230.1952,0.994144
231.0144,0.994204
231.8336,0.994235
232.6528,0.994273
233.472,0.994315
234.2912,0.99438
235.1104,0.994446
235.9296,0.994528
236.7488,0.994628
237.568,0.99468
238.3872,0.994751
239.2064,0.994834
240.0256,0.994907
240.8448,0.994946
241.664,0.994952
242.4832,0.995031
243.3024,0.994991
244.1216,0.99509
244.9408,0.995046
245.76,0.995093
246.5792,0.995154
247.3984,0.995218
248.2176,0.995185
249.0368,0.99525
249.856,0.995263
250.6752,0.995244
251.4944,0.995265
252.3136,0.99526
253.1328,0.995201
253.952,0.995106
254.7712,0.995085
255.5904,0.99502
256.4096,0.99495
257.2288,0.994893
258.048,0.994811
258.8672,0.994767
259.6864,0.994724
260.5056,0.994625
261.3248,0.994667
262.144,0.994622
262.9632,0.994728
263.7824,0.994693
264.6016,0.994728
265.4208,0.994742
266.24,0.994776
267.0592,0.994843
267.8784,0.994801
268.6976,0.994816
269.5168,0.99483
270.336,0.994837
271.1552,0.994823
271.9744,0.994802
272.7936,0.994791
273.6128,0.994727
274.432,0.994675
275.2512,0.99465
276.0704,0.99467
276.8896,0.994588
277.7088,0.994567
278.528,0.994556
279.3472,0.994561
280.1664,0.994594
280.9856,0.994556
281.8048,0.994602
282.624,0.994587
283.4432,0.994673
284.2624,0.994657
285.0816,0.994665
285.9008,0.994716
286.72,0.99473
287.5392,0.994624
288.3584,0.99463
289.1776,0.994639
289.9968,0.994577
290.816,0.994522
291.6352,0.99444
292.4544,0.994387
293.2736,0.994321
294.0928,0.994294
294.912,0.994298
295.7312,0.994226
296.5504,0.994154
297.3696,0.994127
298.1888,0.994171
299.008,0.99423
299.8272,0.994241
300.6464,0.994341
301.4656,0.994377
302.2848,0.994452
303.104,0.994585
303.9232,0.994626
304.7424,0.994726
305.5616,0.994748
306.3808,0.994833
307.2,0.994861
308.0192,0.99492
308.8384,0.994925
309.6576,0.994971
310.4768,0.994957
311.296,0.994929
312.1152,0.994926
312.9344,0.994972
313.7536,0.994941
314.5728,0.99495
315.392,0.994977
316.2112,0.99497
