 time [ms],current channel 1
0,0.949252
0.8192,0.949112
1.6384,0.949068
2.4576,0.949064
3.2768,0.949055
4.096,0.94905
4.9152,0.949104
5.7344,0.949248
6.5536,0.949378
7.3728,0.949546
8.192,0.949691
9.0112,0.949952
9.8304,0.950173
10.6496,0.950398
11.4688,0.950593
12.288,0.950782
13.1072,0.950795
13.9264,0.950875
14.7456,0.950964
15.5648,0.9509
16.384,0.950773
17.2032,0.950613
18.0224,0.950463
18.8416,0.95024
19.6608,0.950003
20.48,0.949811
21.2992,0.949509
22.1184,0.949304
22.9376,0.949128
23.7568,0.948933
24.576,0.948717
25.3952,0.948619
26.2144,0.948529
27.0336,0.948491
27.8528,0.948496
28.672,0.948479
29.4912,0.948646
30.3104,0.94872
31.1296,0.948906
31.9488,0.94913
32.768,0.94928
33.5872,0.949547
34.4064,0.949735
35.2256,0.949921
36.0448,0.950043
36.864,0.95015
37.6832,0.950229
38.5024,0.95021
39.3216,0.950148
40.1408,0.949997
40.96,0.949914
41.7792,0.949762
42.5984,0.949604
43.4176,0.949413
44.2368,0.949229
45.056,0.949098
45.8752,0.948963
46.6944,0.948922
47.5136,0.948839
48.3328,0.948875
49.152,0.948856
49.9712,0.948881
50.7904,0.948883
51.6096,0.948929
52.4288,0.948941
53.248,0.948918
54.0672,0.949008
54.8864,0.948996
55.7056,0.949012
56.5248,0.94896
57.344,0.949018
58.1632,0.949026
58.9824,0.949085
59.8016,0.949153
60.6208,0.949223
61.44,0.949329
62.2592,0.949387
63.0784,0.949474
63.8976,0.949522
64.7168,0.949619
65.536,0.949671
66.3552,0.949655
67.1744,0.949632
67.9936,0.949647
68.8128,0.949665
69.632,0.949655
70.4512,0.949684
71.2704,0.949643
72.0896,0.949607
72.9088,0.949593
73.728,0.949534
74.5472,0.949543
75.3664,0.949488
76.1856,0.949481
77.0048,0.949426
77.824,0.949406
78.6432,0.949365
79.4624,0.94928
80.2816,0.949224
81.1008,0.94926
81.92,0.949191
82.7392,0.949129
83.5584,0.949064
84.3776,0.948966
85.1968,0.948947
86.016,0.948893
86.8352,0.948794
87.6544,0.948798
88.4736,0.948783
89.2928,0.94888
90.112,0.948894
90.9312,0.949
91.7504,0.949131
92.5696,0.949204
93.3888,0.949363
94.208,0.949548
95.0272,0.949645
95.8464,0.949771
96.6656,0.949889
97.4848,0.950011
98.304,0.950082
99.1232,0.950123
99.9424,0.95019
100.7616,0.950182
101.5808,0.950272
102.4,0.950273
103.2192,0.950268
104.0384,0.950311
104.8576,0.950355
105.6768,0.950351
106.496,0.950352
107.3152,0.950309
108.1344,0.950305
108.9536,0.950357
109.7728,0.950279
110.592,0.950232
111.4112,0.950158
112.2304,0.950029
113.0496,0.949873
113.8688,0.949796
114.688,0.949636
115.5072,0.94955
116.3264,0.949431
117.1456,0.949302
117.9648,0.949155
118.784,0.949038
119.6032,0.948993
120.4224,0.948932
121.2416,0.948881
122.0608,0.948829
122.88,0.948806
123.6992,0.948733
124.5184,0.948741
125.3376,0.948722
126.1568,0.948663
126.976,0.948664
127.7952,0.948647
128.6144,0.948605
129.4336,0.948642
130.2528,0.948597
131.072,0.948631
131.8912,0.948683
132.7104,0.948702
133.5296,0.948779
134.3488,0.948856
135.168,0.948971
135.9872,0.949121
136.8064,0.949261
137.6256,0.94936
138.4448,0.94948
139.264,0.949626
140.0832,0.949648
140.9024,0.94974
141.7216,0.949752
142.5408,0.949789
143.36,0.9497
144.1792,0.94967
144.9984,0.949618
145.8176,0.949462
146.6368,0.949345
147.456,0.949306
148.2752,0.949187
149.0944,0.949096
149.9136,0.949041
150.7328,0.949021
151.552,0.94903
152.3712,0.949071
153.1904,0.949097
154.0096,0.949231
154.8288,0.949305
155.648,0.949387
156.4672,0.94948
157.2864,0.949575
158.1056,0.949621
158.9248,0.949686
159.744,0.94964
160.5632,0.949639
161.3824,0.949572
162.2016,0.949519
163.0208,0.949446
163.84,0.949433
164.6592,0.949383
165.4784,0.949297
166.2976,0.949269
167.1168,0.949322
167.936,0.949346
168.7552,0.949408
169.5744,0.949474
170.3936,0.949572
171.2128,0.949715
172.032,0.949817
172.8512,0.949969
173.6704,0.950161
174.4896,0.950348
175.3088,0.950514
176.128,0.950616
176.9472,0.950833
177.7664,0.950974
178.5856,0.951135
179.4048,0.951256
180.224,0.951358
181.0432,0.951413
181.8624,0.951403
182.6816,0.951427
183.5008,0.951453
184.32,0.95129
185.1392,0.951166
185.9584,0.951007
186.7776,0.950798
187.5968,0.950636
188.416,0.950383
189.2352,0.950232
190.0544,0.95005
190.8736,0.949897
191.6928,0.9498
192.512,0.94974
193.3312,0.949633
194.1504,0.949686
194.9696,0.949728
195.7888,0.949802
196.608,0.949823
197.4272,0.949923
198.2464,0.949965
199.0656,0.950031
199.8848,0.950076
200.704,0.950172
201.5232,0.950127
202.3424,0.950125
203.1616,0.950145
203.9808,0.950128
204.8,0.950067
205.6192,0.950095
206.4384,0.950074
207.2576,0.950012
208.0768,0.950044
208.896,0.950012
209.7152,0.949991
210.5344,0.949982
211.3536,0.949884
212.1728,0.949817
212.992,0.949767
213.8112,0.949692
214.6304,0.949576
215.4496,0.949551
216.2688,0.949455
217.088,0.949439
217.9072,0.949405
218.7264,0.94934
219.5456,0.949396
220.3648,0.949413
221.184,0.949453
222.0032,0.949517
222.8224,0.949578
223.6416,0.949658
224.4608,0.94975
225.28,0.949777
226.0992,0.949854
226.9184,0.949901
227.7376,0.94997
228.5568,0.950018
229.376,0.950054
230.1952,0.950101
231.0144,0.950142
231.8336,0.950251
232.6528,0.950346
233.472,0.950442
234.2912,0.950582
235.1104,0.9507
235.9296,0.950834
236.7488,0.950854
237.568,0.951001
238.3872,0.951068
239.2064,0.951052
240.0256,0.951085
240.8448,0.951018
241.664,0.950871
242.4832,0.950754
243.3024,0.950561
244.1216,0.950389
244.9408,0.950216
245.76,0.94998
246.5792,0.949786
247.3984,0.949628
248.2176,0.949389
249.0368,0.949279
249.856,0.949242
250.6752,0.949215
251.4944,0.949249
252.3136,0.949299
253.1328,0.949368
253.952,0.949467
254.7712,0.949581
255.5904,0.949702
256.4096,0.949804
257.2288,0.949893
258.048,0.949952
258.8672,0.950005
259.6864,0.950038
260.5056,0.950011
261.3248,0.94996
262.144,0.949886
262.9632,0.949841
263.7824,0.94974
264.6016,0.949643
265.4208,0.949561
266.24,0.949436
267.0592,0.949376
267.8784,0.949238
268.6976,0.949171
269.5168,0.949138
270.336,0.949088
271.1552,0.949092
271.9744,0.949104
272.7936,0.949186
273.6128,0.949242
274.432,0.949351
275.2512,0.949494
276.0704,0.949601
276.8896,0.949755
277.7088,0.949974
278.528,0.950066
279.3472,0.95027
280.1664,0.950477
280.9856,0.950581
281.8048,0.950672
282.624,0.950741
283.4432,0.950817
284.2624,0.95083
285.0816,0.950805
285.9008,0.950759
286.72,0.950661
287.5392,0.950527
288.3584,0.950319
289.1776,0.950193
289.9968,0.950036
290.816,0.949815
291.6352,0.949665
292.4544,0.949543
293.2736,0.949408
294.0928,0.949372
294.912,0.949298
295.7312,0.949311
296.5504,0.949326
297.3696,0.94939
298.1888,0.949549
299.008,0.949645
299.8272,0.949763
300.6464,0.949905
301.4656,0.950053
302.2848,0.950062
303.104,0.950152
303.9232,0.95019
304.7424,0.950247
305.5616,0.950281
306.3808,0.950272
307.2,0.950202
308.0192,0.950182
308.8384,0.950151
309.6576,0.950083
310.4768,0.950101
311.296,0.950044
312.1152,0.950034
312.9344,0.949937
313.7536,0.949965
314.5728,0.949932
315.392,0.949868
316.2112,0.949788
317.0304,0.949699
317.8496,0.949663
318.6688,0.949518
319.488,0.949436
320.3072,0.949376
321.1264,0.949237
321.9456,0.949095
322.7648,0.949039
323.584,0.949057
324.4032,0.94906
325.2224,0.949077
326.0416,0.949087
326.8608,0.949238
327.68,0.949277
328.4992,0.949438
329.3184,0.949529
330.1376,0.949673
330.9568,0.949794
331.776,0.949813
332.5952,0.949853
333.4144,0.949838
334.2336,0.949805
335.0528,0.949716
335.872,0.949619
336.6912,0.949452
337.5104,0.949381
338.3296,0.949171
339.1488,0.949041
339.968,0.948881
340.7872,0.948771
341.6064,0.948626
342.4256,0.948505
343.2448,0.948458
344.064,0.948458
344.8832,0.94842
345.7024,0.948485
346.5216,0.948559
347.3408,0.948644
348.16,0.948719
348.9792,0.948887
349.7984,0.948979
350.6176,0.949128
351.4368,0.949256
352.256,0.949369
353.0752,0.94945
353.8944,0.949523
354.7136,0.949627
355.5328,0.94963
356.352,0.949766
357.1712,0.949852
357.9904,0.949922
358.8096,0.950038
359.6288,0.950111
360.448,0.950201
361.2672,0.950357
362.0864,0.950376
362.9056,0.95045
363.7248,0.950517
364.544,0.950544
365.3632,0.950493
366.1824,0.950407
367.0016,0.950259
367.8208,0.950093
368.64,0.949923
369.4592,0.949646
370.2784,0.949443
371.0976,0.9492
371.9168,0.948946
372.736,0.948788
373.5552,0.948678
374.3744,0.948599
375.1936,0.948623
376.0128,0.948713
376.832,0.948779
377.6512,0.948925
378.4704,0.949124
379.2896,0.949213
380.1088,0.949387
380.928,0.949532
381.7472,0.949591
