 time [ms],current channel 1
0,0.980747
0.8192,0.980686
1.6384,0.980659
2.4576,0.980697
3.2768,0.980673
4.096,0.980593
4.9152,0.98057
5.7344,0.980507
6.5536,0.980422
7.3728,0.980425
8.192,0.980336
9.0112,0.980297
9.8304,0.980311
10.6496,0.98033
11.4688,0.980326
12.288,0.980357
13.1072,0.980431
13.9264,0.980491
14.7456,0.980597
15.5648,0.980735
16.384,0.980877
17.2032,0.980948
18.0224,0.981091
18.8416,0.981188
19.6608,0.981299
20.48,0.981355
21.2992,0.981359
22.1184,0.981389
22.9376,0.981424
23.7568,0.981394
24.576,0.981309
25.3952,0.981356
26.2144,0.981357
27.0336,0.981295
27.8528,0.981267
28.672,0.981284
29.4912,0.981187
30.3104,0.981202
31.1296,0.981222
31.9488,0.981165
32.768,0.981165
33.5872,0.981174
34.4064,0.981063
35.2256,0.981122
36.0448,0.98101
36.864,0.981018
37.6832,0.980997
38.5024,0.980882
39.3216,0.980861
40.1408,0.980767
40.96,0.980741
41.7792,0.980706
42.5984,0.980671
43.4176,0.980632
44.2368,0.980582
45.056,0.980547
45.8752,0.980517
46.6944,0.980546
47.5136,0.980565
48.3328,0.980517
49.152,0.980627
49.9712,0.980633
50.7904,0.980692
51.6096,0.98073
52.4288,0.98078
53.248,0.980859
54.0672,0.980932
54.8864,0.980959
55.7056,0.981024
56.5248,0.981068
57.344,0.981083
58.1632,0.981168
58.9824,0.981217
59.8016,0.981226
60.6208,0.981189
61.44,0.981191
62.2592,0.981125
63.0784,0.981165
63.8976,0.981068
64.7168,0.981015
65.536,0.980952
66.3552,0.980829
67.1744,0.980764
67.9936,0.980729
68.8128,0.980669
69.632,0.980616
70.4512,0.980534
71.2704,0.980481
72.0896,0.980467
72.9088,0.980453
73.728,0.980494
74.5472,0.980562
75.3664,0.980609
76.1856,0.980688
77.0048,0.980709
77.824,0.980834
78.6432,0.980912
79.4624,0.980963
80.2816,0.981012
81.1008,0.981024
81.92,0.981002
82.7392,0.981006
83.5584,0.981005
84.3776,0.98098
85.1968,0.980926
86.016,0.980894
86.8352,0.980873
87.6544,0.980799
88.4736,0.980798
89.2928,0.980775
90.112,0.980799
90.9312,0.9808
91.7504,0.980838
92.5696,0.980937
93.3888,0.980954
94.208,0.981099
95.0272,0.981132
95.8464,0.981197
96.6656,0.981204
97.4848,0.981247
98.304,0.981299
99.1232,0.981232
99.9424,0.981139
100.7616,0.981007
101.5808,0.980923
102.4,0.980779
103.2192,0.980636
104.0384,0.980553
104.8576,0.980422
105.6768,0.980338
106.496,0.9803
107.3152,0.98025
108.1344,0.980224
108.9536,0.980255
109.7728,0.980218
110.592,0.980308
111.4112,0.980346
112.2304,0.980348
113.0496,0.980442
113.8688,0.98041
114.688,0.980427
115.5072,0.980435
116.3264,0.980361
117.1456,0.980329
117.9648,0.980267
118.784,0.980087
119.6032,0.980076
120.4224,0.979973
121.2416,0.979992
122.0608,0.980015
122.88,0.979998
123.6992,0.980034
124.5184,0.980113
125.3376,0.980183
126.1568,0.980296
126.976,0.98037
127.7952,0.980475
128.6144,0.980555
129.4336,0.980654
130.2528,0.98075
131.072,0.980755
131.8912,0.980804
132.7104,0.980775
133.5296,0.980771
134.3488,0.980758
135.168,0.980721
135.9872,0.980719
136.8064,0.980748
137.6256,0.980694
138.4448,0.980655
139.264,0.980668
140.0832,0.980653
140.9024,0.98064
141.7216,0.980643
142.5408,0.980706
143.36,0.980756
144.1792,0.980704
144.9984,0.9807
145.8176,0.9807
146.6368,0.980721
147.456,0.980734
148.2752,0.980741
149.0944,0.980712
149.9136,0.980702
150.7328,0.980754
151.552,0.980729
152.3712,0.980779
153.1904,0.980782
154.0096,0.980768
154.8288,0.980849
155.648,0.980916
156.4672,0.980915
157.2864,0.980997
158.1056,0.981049
158.9248,0.981038
159.744,0.981079
160.5632,0.981069
161.3824,0.981088
162.2016,0.981077
163.0208,0.981032
163.84,0.980972
164.6592,0.980961
165.4784,0.980884
166.2976,0.980831
167.1168,0.980772
167.936,0.98078
168.7552,0.980741
169.5744,0.98065
170.3936,0.98066
171.2128,0.980584
172.032,0.98063
172.8512,0.980606
173.6704,0.98061
174.4896,0.980518
175.3088,0.980546
176.128,0.980549
176.9472,0.980543
177.7664,0.980514
178.5856,0.980573
179.4048,0.980594
180.224,0.980604
181.0432,0.980628
181.8624,0.980652
182.6816,0.980729
183.5008,0.980718
184.32,0.980779
185.1392,0.980845
185.9584,0.980926
186.7776,0.980965
187.5968,0.981048
188.416,0.981114
189.2352,0.981154
190.0544,0.981186
190.8736,0.981269
191.6928,0.981342
192.512,0.981361
193.3312,0.981385
194.1504,0.981385
194.9696,0.98135
195.7888,0.98135
196.608,0.981266
197.4272,0.981201
198.2464,0.981146
