 time [ms],current channel 1
0,1.17157
0.8192,1.17154
1.6384,1.17147
2.4576,1.17146
3.2768,1.17147
4.096,1.17139
4.9152,1.17141
5.7344,1.17143
6.5536,1.17142
7.3728,1.17146
8.192,1.17145
9.0112,1.17148
9.8304,1.17148
10.6496,1.17145
11.4688,1.17141
12.288,1.17143
13.1072,1.17133
13.9264,1.17135
14.7456,1.1713
15.5648,1.17121
16.384,1.17125
17.2032,1.17119
18.0224,1.17115
18.8416,1.17119
19.6608,1.17123
20.48,1.1712
21.2992,1.17128
22.1184,1.17135
22.9376,1.17141
23.7568,1.17145
24.576,1.17151
25.3952,1.17158
26.2144,1.17167
27.0336,1.17168
27.8528,1.17171
28.672,1.17171
29.4912,1.17174
30.3104,1.17169
31.1296,1.17172
31.9488,1.17169
32.768,1.1717
33.5872,1.17173
34.4064,1.17173
35.2256,1.17164
36.0448,1.17162
36.864,1.17161
37.6832,1.17158
38.5024,1.17155
39.3216,1.1715
40.1408,1.17146
40.96,1.1714
41.7792,1.17134
42.5984,1.17127
43.4176,1.17127
44.2368,1.17123
45.056,1.17126
45.8752,1.17124
46.6944,1.17124
47.5136,1.1712
48.3328,1.17124
49.152,1.17124
49.9712,1.1712
50.7904,1.17114
51.6096,1.17116
52.4288,1.17118
53.248,1.1711
54.0672,1.17112
54.8864,1.17107
55.7056,1.17104
56.5248,1.17106
57.344,1.17102
58.1632,1.17106
58.9824,1.17104
59.8016,1.17108
60.6208,1.17112
61.44,1.17114
62.2592,1.1712
63.0784,1.17131
63.8976,1.17135
64.7168,1.17138
65.536,1.17139
66.3552,1.1715
67.1744,1.17147
67.9936,1.17149
68.8128,1.17148
69.632,1.17148
70.4512,1.17144
71.2704,1.17141
72.0896,1.17132
72.9088,1.17131
73.728,1.17119
74.5472,1.17108
75.3664,1.17098
76.1856,1.17084
77.0048,1.17075
77.824,1.17065
78.6432,1.17061
79.4624,1.17053
80.2816,1.17049
81.1008,1.17054
81.92,1.17055
82.7392,1.17068
83.5584,1.1708
84.3776,1.17101
85.1968,1.17108
86.016,1.17126
86.8352,1.17142
87.6544,1.17152
88.4736,1.17162
89.2928,1.17165
90.112,1.17159
90.9312,1.17153
91.7504,1.17139
92.5696,1.17123
93.3888,1.17105
94.208,1.17087
95.0272,1.17067
95.8464,1.17058
96.6656,1.17041
97.4848,1.17032
98.304,1.17023
99.1232,1.17023
99.9424,1.17028
100.7616,1.1703
101.5808,1.17036
102.4,1.17052
103.2192,1.17063
104.0384,1.17074
104.8576,1.17083
105.6768,1.17099
106.496,1.17117
107.3152,1.1713
108.1344,1.1714
108.9536,1.17154
109.7728,1.1716
110.592,1.17172
111.4112,1.17181
112.2304,1.17178
113.0496,1.1718
113.8688,1.17177
114.688,1.17169
115.5072,1.17165
116.3264,1.17156
117.1456,1.17149
117.9648,1.17135
118.784,1.17127
119.6032,1.17122
120.4224,1.17119
121.2416,1.17115
122.0608,1.17114
122.88,1.17121
123.6992,1.1713
124.5184,1.17135
125.3376,1.17139
126.1568,1.17149
126.976,1.17154
127.7952,1.17156
128.6144,1.17148
129.4336,1.17144
130.2528,1.17131
131.072,1.1711
131.8912,1.17098
132.7104,1.17077
133.5296,1.17064
134.3488,1.17046
135.168,1.17027
135.9872,1.1701
136.8064,1.16998
137.6256,1.16996
138.4448,1.16992
139.264,1.16995
140.0832,1.16998
140.9024,1.17006
141.7216,1.17013
142.5408,1.17024
143.36,1.1703
144.1792,1.17045
144.9984,1.17047
145.8176,1.17059
146.6368,1.17066
147.456,1.17072
148.2752,1.17073
149.0944,1.17079
149.9136,1.17079
150.7328,1.17079
151.552,1.17083
152.3712,1.17082
153.1904,1.17083
154.0096,1.17081
154.8288,1.17083
155.648,1.17086
156.4672,1.17093
157.2864,1.17097
158.1056,1.17104
158.9248,1.17103
159.744,1.17108
160.5632,1.17109
161.3824,1.17104
162.2016,1.17104
163.0208,1.17097
163.84,1.17089
164.6592,1.17074
165.4784,1.17062
166.2976,1.17051
167.1168,1.1704
167.936,1.17025
168.7552,1.17019
169.5744,1.17014
170.3936,1.17007
171.2128,1.1701
172.032,1.17012
172.8512,1.17022
173.6704,1.17034
174.4896,1.17041
175.3088,1.17056
176.128,1.17076
176.9472,1.17086
177.7664,1.17095
178.5856,1.1711
179.4048,1.17114
180.224,1.17122
181.0432,1.17122
181.8624,1.1712
182.6816,1.17115
183.5008,1.17114
184.32,1.17113
185.1392,1.17103
185.9584,1.17096
186.7776,1.17095
187.5968,1.17093
188.416,1.17088
189.2352,1.1709
190.0544,1.17092
190.8736,1.17098
191.6928,1.17103
192.512,1.17109
193.3312,1.17116
194.1504,1.17123
194.9696,1.1713
195.7888,1.17132
196.608,1.17137
197.4272,1.17137
198.2464,1.17136
199.0656,1.17132
199.8848,1.17124
200.704,1.17118
201.5232,1.1711
202.3424,1.17107
203.1616,1.1709
203.9808,1.17083
204.8,1.17068
205.6192,1.17056
206.4384,1.17043
207.2576,1.17024
208.0768,1.17013
208.896,1.16997
209.7152,1.16982
210.5344,1.16972
211.3536,1.16966
212.1728,1.16964
212.992,1.16963
213.8112,1.16969
214.6304,1.1698
215.4496,1.16998
216.2688,1.17018
217.088,1.17034
217.9072,1.1706
218.7264,1.17079
219.5456,1.17096
220.3648,1.17117
221.184,1.17122
222.0032,1.17126
222.8224,1.1713
223.6416,1.17127
224.4608,1.17124
225.28,1.17111
226.0992,1.17098
226.9184,1.17087
227.7376,1.17082
228.5568,1.1707
229.376,1.17062
230.1952,1.17061
231.0144,1.17056
231.8336,1.17056
232.6528,1.17054
233.472,1.1705
234.2912,1.17047
235.1104,1.17048
235.9296,1.17048
236.7488,1.17049
237.568,1.17045
238.3872,1.17044
239.2064,1.17038
240.0256,1.17039
240.8448,1.17039
241.664,1.17036
242.4832,1.17038
243.3024,1.17036
244.1216,1.17038
244.9408,1.17037
245.76,1.17029
246.5792,1.17033
247.3984,1.17026
248.2176,1.17021
249.0368,1.1701
249.856,1.17006
250.6752,1.16998
251.4944,1.16992
252.3136,1.1699
253.1328,1.16979
253.952,1.16981
254.7712,1.1698
255.5904,1.1698
256.4096,1.16989
257.2288,1.16995
258.048,1.16999
258.8672,1.17012
259.6864,1.17026
260.5056,1.17029
261.3248,1.17042
262.144,1.1705
262.9632,1.17054
263.7824,1.17063
264.6016,1.17062
265.4208,1.17059
266.24,1.17065
267.0592,1.1706
267.8784,1.17055
268.6976,1.17052
269.5168,1.17058
270.336,1.17057
271.1552,1.1706
271.9744,1.17059
272.7936,1.17069
273.6128,1.17077
274.432,1.17072
275.2512,1.17078
276.0704,1.17082
276.8896,1.1708
277.7088,1.17083
278.528,1.17076
279.3472,1.17067
280.1664,1.17056
280.9856,1.17044
281.8048,1.17033
282.624,1.17018
283.4432,1.17002
284.2624,1.16986
285.0816,1.16979
285.9008,1.16969
286.72,1.16955
287.5392,1.16949
288.3584,1.16953
289.1776,1.16945
289.9968,1.16948
290.816,1.16946
291.6352,1.16943
292.4544,1.1695
293.2736,1.1695
294.0928,1.16954
294.912,1.1695
295.7312,1.16946
296.5504,1.16948
297.3696,1.16947
298.1888,1.16942
299.008,1.16939
299.8272,1.16938
300.6464,1.16938
301.4656,1.16939
302.2848,1.16937
303.104,1.16946
303.9232,1.16952
304.7424,1.16961
305.5616,1.16962
306.3808,1.16972
307.2,1.16985
308.0192,1.16988
308.8384,1.16993
309.6576,1.17002
310.4768,1.17007
311.296,1.17006
312.1152,1.17016
312.9344,1.17012
313.7536,1.17006
314.5728,1.1701
315.392,1.17007
316.2112,1.17005
317.0304,1.17006
317.8496,1.17007
318.6688,1.17006
319.488,1.17013
320.3072,1.17022
321.1264,1.17024
321.9456,1.17028
322.7648,1.17034
323.584,1.17042
324.4032,1.17048
325.2224,1.17052
326.0416,1.17056
326.8608,1.17056
327.68,1.17055
328.4992,1.17047
329.3184,1.17048
330.1376,1.17048
330.9568,1.17051
331.776,1.17046
332.5952,1.17043
333.4144,1.17039
334.2336,1.17038
335.0528,1.17033
335.872,1.17027
336.6912,1.1702
337.5104,1.17012
338.3296,1.17006
339.1488,1.17002
339.968,1.16993
340.7872,1.16992
341.6064,1.16989
342.4256,1.16991
343.2448,1.16987
344.064,1.16989
344.8832,1.16991
345.7024,1.16996
346.5216,1.16999
347.3408,1.17004
348.16,1.17012
348.9792,1.17028
349.7984,1.1703
350.6176,1.17035
351.4368,1.17036
352.256,1.17044
353.0752,1.17043
353.8944,1.17044
354.7136,1.17044
355.5328,1.17038
356.352,1.17031
357.1712,1.17024
357.9904,1.17015
358.8096,1.17005
359.6288,1.16998
360.448,1.16997
361.2672,1.16989
362.0864,1.16981
362.9056,1.16982
363.7248,1.16983
364.544,1.16986
365.3632,1.16992
366.1824,1.17
367.0016,1.17006
367.8208,1.17011
368.64,1.17017
369.4592,1.17022
370.2784,1.17028
371.0976,1.17024
371.9168,1.17025
372.736,1.17025
373.5552,1.17017
374.3744,1.17014
375.1936,1.17008
376.0128,1.17007
376.832,1.17003
377.6512,1.17003
378.4704,1.16998
379.2896,1.17001
380.1088,1.17004
380.928,1.17006
381.7472,1.1701
382.5664,1.17012
383.3856,1.17015
384.2048,1.17013
385.024,1.17015
385.8432,1.17012
386.6624,1.17012
387.4816,1.17014
388.3008,1.17011
389.12,1.17011
389.9392,1.17016
390.7584,1.17021
391.5776,1.17026
392.3968,1.17025
393.216,1.17024
394.0352,1.17024
394.8544,1.17028
395.6736,1.17019
396.4928,1.17008
397.312,1.17001
398.1312,1.16991
398.9504,1.16974
399.7696,1.16966
400.5888,1.16945
401.408,1.16932
402.2272,1.16929
403.0464,1.16917
403.8656,1.16911
404.6848,1.16909
405.504,1.16908
406.3232,1.16918
407.1424,1.16922
407.9616,1.16932
408.7808,1.16946
409.6,1.16966
410.4192,1.16976
411.2384,1.16988
412.0576,1.17
412.8768,1.17007
413.696,1.1701
414.5152,1.17007
415.3344,1.1701
416.1536,1.17
416.9728,1.16991
417.792,1.16984
418.6112,1.16971
419.4304,1.16965
420.2496,1.16958
421.0688,1.16957
421.888,1.16961
422.7072,1.16969
423.5264,1.16976
424.3456,1.1699
425.1648,1.17
425.984,1.17021
426.8032,1.17027
427.6224,1.17028
428.4416,1.17038
429.2608,1.17035
430.08,1.1704
430.8992,1.17032
431.7184,1.17026
432.5376,1.17011
433.3568,1.17009
434.176,1.17009
434.9952,1.17004
435.8144,1.17006
436.6336,1.17011
437.4528,1.17026
438.272,1.17037
439.0912,1.17051
439.9104,1.17057
440.7296,1.17066
441.5488,1.17073
442.368,1.17074
443.1872,1.17068
444.0064,1.17059
444.8256,1.17045
445.6448,1.17024
446.464,1.17009
447.2832,1.16984
448.1024,1.16966
448.9216,1.16937
449.7408,1.16921
450.56,1.16904
451.3792,1.16888
452.1984,1.16886
453.0176,1.16886
453.8368,1.16888
454.656,1.16899
455.4752,1.16912
456.2944,1.16921
457.1136,1.16942
457.9328,1.16956
458.752,1.16981
459.5712,1.17
460.3904,1.1702
461.2096,1.17046
462.0288,1.17057
462.848,1.17077
463.6672,1.17088
464.4864,1.17093
465.3056,1.17099
466.1248,1.17097
466.944,1.17092
467.7632,1.17086
468.5824,1.17072
469.4016,1.17064
470.2208,1.17043
471.04,1.17031
471.8592,1.17015
472.6784,1.16993
473.4976,1.16977
474.3168,1.16963
475.136,1.16955
475.9552,1.16947
476.7744,1.16941
477.5936,1.16938
478.4128,1.16948
479.232,1.16953
480.0512,1.16966
480.8704,1.16981
481.6896,1.16996
482.5088,1.17016
483.328,1.17031
484.1472,1.17046
484.9664,1.17063
485.7856,1.17076
486.6048,1.17085
487.424,1.17087
488.2432,1.17083
489.0624,1.17078
489.8816,1.17076
490.7008,1.1706
491.52,1.17044
492.3392,1.17028
493.1584,1.17014
493.9776,1.16996
494.7968,1.16975
495.616,1.16967
496.4352,1.16953
497.2544,1.16944
498.0736,1.16946
498.8928,1.16951
499.712,1.16949
500.5312,1.16959
501.3504,1.16969
502.1696,1.16976
